Military expenditure by country, in local currency, 1988-2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures are in local currency at current prices and are for financial years. Countries are grouped by region and subregion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All data are expressed in the most recent currency for each country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures in blue are SIPRI estimates. Figures in red indicate highly uncertain data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
""". ."" = data unavailable. ""xxx"" = country did not exist or was not independent during all or part of the year in question.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country                   ;Currency;Financial year start;Notes;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Trinidad & Tobago;m. Dollars;October;;. .;. .;. .;. .;116;138;161;. .;. .;. .;. .;. .;76.8;117;135;444;581;719;760;878;865;908;923;976;1414;1370;1523
North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada                        ;m. dollars                    ;April;;12336;12854;13473;12830;13111;13293;13008;12457;11511;10831;11716;12360;12314;13191;13379;14143;14951;16001;17066;19255;21100;21828;19255;20607;20276;18593;19538
USA                           ;m. dollars                    ;October;38;293093;304085;306170;280292;305141;297637;288059;278856;271417;276325;274278;280969;301697;312743;356720;415223;464676;503353;527660;556961;621131;668567;698180;711338;684780;639704;609913.68
South America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina                     ;m. pesos                      ;January;;2.2;57.6;943;2569;3038;3170;3751;3801;3378;3339;3397;3460;3265;3182;3413;3988;4285;4935;5643;7109;8769;11063;13541;16654;20703;28050;35103
Bolivia                       ;m. bolivianos                 ;January;39;. .;275;436;516;553;470;624;678;748;950;1263;1030;1074;1221;1153;1331;1343;1368;1441;1740;2371;2431;2300;2438;2738;3076;3368
Brazil                        ;th./m. reais                      ;January;;0.67;10.7;273;1.2;9.8;272;7040;13140;14145;15021;16662;17898;20753;25682;28224;25829;28608;33080;35686;39887;44841;51283;59819;61788;66379;71060;74217
Chile                         ;b. pesos                      ;January;§ 40;252;261;315;363;424;522;616;725;785;889;972;1040;1135;1202;1226;1264;1519;1680;1978;2068;2375;2109;2402;2631;2664;2665;2936
Colombia                      ;b. pesos                      ;January;41;239;337;447;577;837;1320;1694;2391;4477;3410;4834;5703;6322;7507;8383;9434;10664;11405;12577;14082;17810;19496;19787;19048;21035;24297;26132
Ecuador                       ;m. US dollars                 ;January;42;198;189;202;209;211;276;291;475;419;499;549;296;266;384;505;739;710;954;950;1310;1646;1949;2094;2454;2379;2638;2750
Guyana                        ;m. dollars                    ;January;‡ 43;83.9;124;142;227;453;562;759;808;780;. .;. .;. .;2296;2692;3175;3169;4389;3699;3839;5053;6215;6334;6328;6614;6855;7242;7926
Paraguay                      ;b. guaranies               ;January;44;. .;81.0;113;192;217;192;232;298;299;386;401;384;406;396;422;431;533;508;631;697;776;882;1024;1266;1500;1704;2017
Peru                          ;m. nuevos soles           ;January;45;. .;217;4498;308;798;1347;1727;2256;2426;3140;3346;3357;3183;3171;2953;3100;3147;3788;3987;3825;4051;5189;5527;5579;6273;7997;7941
Uruguay                       ;m. pesos                      ;January;;93.2;185;384;542;1110;1651;2272;3326;4589;5431;6003;6512;6803;6975;7321;7815;8269;8847;9723;10106;12422;14682;15807;16264;18381;21885;21264
Venezuela                     ;m. bolivares fuerte;January;? 46;. .;. .;. .;55.9;67.9;117;138;212;306;753;795;853;1216;1383;1244;1588;2740;4292;6436;6377;9286;8631;8683;10229;21299;32136;35042
Asia & Oceania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan                    ;b. tenge                      ;January;;xxx;xxx;xxx;xxx;. .;0.3;3.8;10.8;16.3;17.9;19.0;17.2;20.4;32.5;37.7;47.5;58.0;78.7;100;167;185;188;221;265;325;388;416
Kyrgyzstan                    ;m. som                        ;January;47;xxx;xxx;xxx;xxx;12.2;82.0;311;558;699;955;912;1267;1882;1734;2055;2404;2688;3105;3606;4339;5461;6391;8475;9720;9958;11356;13525
Tajikistan                    ;m. somoni                    ;January;;xxx;xxx;xxx;xxx;0.003;0.243;0.347;0.7;4.0;10.7;17.6;18.7;21.5;29.6;70.7;107;134;. .;. .;. .;180;197;235;329;361;. .;515
Turkmenistan                  ;m. manat                      ;January;48;xxx;xxx;xxx;xxx;. .;. .;0.3;3.0;31.7;88.0;87.2;116;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;
Uzbekistan                    ;b. sum                     ;January;49;xxx;xxx;xxx;xxx;. .;. .;1.0;3.4;6.9;13.7;. .;34.9;37.5;41.1;44.5;53.0;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;
East Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei                        ;m. dollars                    ;Special, see notes;50;359;363;419;424;410;378;400;405;463;548;492;438;421;390;405;530;308;449;472;492;520;505;542;516;513;516;720
Cambodia                      ;b. riel                       ;January;;2.5;4.8;12.4;31.1;78.9;120;273;302;298;305;312;336;309;277;265;270;272;296;389;383;501;977;746;826;876;981;1124
China, P. R.                  ;b. yuan                       ;January;51;. .;44.0;49.0;53.3;68.9;73.2;86.9;105;125;133;150;170;184;227;262;288;331;379;452;546;637;764;835;952;1071;1185;1330
Indonesia                     ;b. rupiah                     ;Special, see notes;52;2315;2555;3114;3375;3984;4052;5102;5731;7068;10179;9594;8691;7340;9430;12755;18310;21712;20829;23923;30611;31349;34333;42392;51202;72936;87500;83300
Japan                         ;b. yen                        ;April;† 53;3312;3455;3670;3922;4253;4441;4589;4602;4638;4719;4815;4950;4956;4897;4907;4969;4920;4928;4898;4878;4818;4815;4691;4869;4761;4754;4885
Korea, North                  ;b. won                           ;January;54;3.9;4.0;4.3;4.5;4.5;4.6;4.7;. .;3.0;. .;2.9;2.9;3.0;3.2;3.3;50.8;54.4;64.5;67.1;68.5;71.3;76.3;82.6;89.8;99.1;105;111
Korea, South                  ;b. won                        ;January;55;5656;6358;7156;8035;9067;9935;10862;12406;13200;14125;14656;14379;15609;16708;17643;18884;20421;22694;24039;25765;28733;31168;31876;34229;35665;37159;38625
Laos                          ;b. kip                        ;October;;. .;. .;. .;72.5;75.5;81.9;87.6;71.0;76.0;110;110;107;112;115;115;121;125;135;140;150;119;119;150;160;172;. .;
Malaysia                      ;m. ringgit                    ;January;;2241;2761;3043;4323;4500;4951;5565;6121;6091;5877;4547;6321;5826;7351;8504;10950;10728;11817;11981;13649;14717;13974;12415;14709;14508;15257;16100
Mongolia                      ;m. tugriks                    ;January;;900;850;592;888;1184;4147;6766;9547;11850;14767;16750;18416;26126;25384;28071;27899;32891;35914;46232;66200;77817;54110;74443;110300;155499;. .;
Myanmar                       ;b. kyats                      ;April;56;1.8;4.3;5.4;6.1;9.1;13.9;17.7;23.8;29.0;30.1;39.6;45;63.5;64;76.1;173;174;198;. .;. .;. .;. .;. .;1297;2104;2245;2366
Philippines                   ;m. pesos                      ;January;57;19651;20757;23131;25094;27524;31812;36778;43725;49268;46459;50117;52419;57586;57219;61879;70534;69670;75616;82476;92960;100654;100880;109986;117010;122408;143342;146131
Singapore                     ;m. dollars                    ;April;;2492;2837;3409;3523;3891;4049;4347;5492;5878;6865;7678;7595;7423;7820;8204;8238;8620;9252;9268;10009;10726;11043;11061;11276;11524;12175;12566
Taiwan                        ;b. dollars                    ;January;;201;225;243;256;271;344;289;319;327;322;295;309;275;270;260;257;262;258;249;268;282;302;288;295;311;313;311
Thailand                      ;b. baht                       ;October;;48.4;54.4;63.5;74.7;76.8;89.3;95.3;98;106;90.2;78.7;75.1;76.4;77.2;79.9;74.106;78.053;85.108;115;142;168;154;168;167;180;184;193
Timor Leste;m. US dollars;Special, see notes;58;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;. .;. .;6.6;9.8;24.4;11.5;23.7;36.5;26.4;20.5;33.4;31.7;29.6
Viet Nam                      ;b. dong                       ;January;59;792;2047;3319;4292;3730;3168;4730;. .;. .;. .;. .;. .;. .;. .;. .;13058;14409;16278;20577;28735;34848;40981;49739;55100;70000;78024;90000
South Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan                   ;m. afghanis;January;60;;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;6186;5946;6100;6649;11835;12137;12783;14063;15464;11486;12136;16000
Bangladesh                    ;b. takas;July;;10.0;11.1;11.2;12.9;15.9;16.4;21.7;21.5;24.7;27.1;29.8;32.7;34.0;34.0;34.2;38.1;41.2;44.9;54.0;59.5;62.6;87.6;109;125;137;147;165
India                         ;b. rupees;April;61;162;175;188;199;213;265;283;327;359;435;511;627;647;703;722;774;965;1035;1102;1190;1518;1993;2146;2373;2573;2846;3118
Nepal                         ;m. rupees;July;¶;899;1077;1151;1489;1724;1877;2001;2126;2358;2583;2995;3486;3817;5882;7420;8255;10996;11745;11136;11389;14712;17811;19491;22629;21109;30722;28868
Pakistan                      ;b. rupees;July;‡ 62;51.0;55.0;67.0;79.0;91.0;95.0;108;124;132;141;149;156;163;189;202;228;253;293;306;343;393;469;549;652;745;809;917
Sri Lanka                     ;b. rupees;January;63;5264;4531;7.5;11.5;14.3;17.1;21.6;39.1;42.4;41.2;47.3;44.6;63.3;60.3;54.7;52.3;62.7;64.7;82.2;117;164;175;173;194;187;237;241
Oceania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia                     ;m. dollars                    ;July;;7642;8292;8885;9148;9594;10211;10195;10488;10476;10912;11716;12371;12721;14514;14739;15873;16748;17921;19899;21179;23249;25372;25250;26320;24320;27110;29303
Fiji                          ;m. dollars                    ;January;† 64;35.3;43.1;45.2;47.9;45.9;49.4;49.3;48.8;46.1;44.7;44.9;46.9;68.2;74.7;67.6;70.7;81.1;72.9;93.6;122;85.4;100;96.7;109;106;107;93.9
New Zealand                   ;m. dollars                    ;July;;1769;1794;1752;1677;1564;1644;1660;1834;1769;1803;1819;1848;1931;1859;1885;2017;1861;2087;2428;2236;2491;2706;2654;2612;2559;2710;3096
Papua New Guinea              ;m. kina                       ;January;‡ 65;40.1;45.6;65.6;50.1;56.5;67.1;84.2;72.2;104;114;103;91.7;93.5;85.5;66.3;68.8;78.7;94.5;95.7;117;106;143;126;152;231;187;246
Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania                       ;m. leks                       ;January;§ ¶ 66;955;965;990;. .;2475;4010;4698;4719;4777;4442;5067;5891;6519;7638;8220;9279;10373;11000;13831;17619;21450;23633;19749;19865;19910;18892;14232
Armenia                       ;b. drams                   ;January;† 67;xxx;xxx;xxx;xxx;6.5;89.5;. .;21.2;21.7;31.4;33.7;36.5;36.7;36.8;36.8;44.3;52.3;64.4;78.3;95.8;121;131;148;146;153;182;194
Austria                       ;m. euros                      ;January;;1538;1561;1630;1692;1709;1788;1849;1874;1891;1920;1943;1994;2090;1999;1999;2111;2158;2160;2105;2557;2558;2401;2430;2453;2481;2432;2455
Azerbaijan                    ;m. manats                     ;January;? 68;xxx;xxx;xxx;xxx;0.1;1.6;13.8;58.4;61.6;73.4;83;99.1;107;123;136;173;224;288;641;812;1321;1184;1185;2432;2550;2701;2809
Belarus                       ;b. roubles                    ;January;;xxx;xxx;xxx;xxx;. .;. .;0.6;2.1;2.4;6.5;10.5;41.4;123;247;366;475;679;975;1355;1603;1887;1887;2287;3762;6354;8572;10009
Belgium                       ;m. euros                      ;January;;3734;3791;3847;3915;3293;3213;3271;3251;3256;3267;3297;3378;3463;3393;3344;3434;3433;3400;3434;3773;4298;4046;3960;3956;4023;3939;3911
Bosnia-Herzegovina            ;m. marka                      ;January;† ¶ 69;xxx;xxx;xxx;xxx;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;501;351;315;273;278;279;311;341;325;298;300;291;295
Bulgaria                      ;m. leva                       ;January;† 70;. .;1.7;1.7;4.1;6.0;7.8;13.1;20.9;38.0;411;564;656;746;887;947;986;1025;1101;1171;1475;1388;1355;1320;1166;1229;1326;1235
Croatia                       ;m. kunas                      ;January;71;xxx;xxx;xxx;xxx;206;4184;9748;10777;10535;11072;9082;7367;5461;5251;5775;4757;4410;4754;4959;5251;6396;5966;5585;5913;5589;5459;5031
Cyprus                        ;m. euros                      ;January;† ?;194;207;322;332;484;228;251;231;357;469;428;269;299;360;253;255;271;302;304;295;310;339;361;345;323;320;319
